date,open,high,low,close,volume
2024-01-02,100.00,101.50,99.50,101.00,15000
2024-01-03,101.00,102.00,100.50,101.50,12000
2024-01-04,101.50,102.50,100.00,100.50,18000
2024-01-05,100.50,101.00,99.00,99.50,20000
2024-01-08,99.50,100.50,98.50,99.00,22000
2024-01-09,99.00,100.00,98.00,98.50,25000
2024-01-10,98.50,99.50,97.50,99.00,19000
2024-01-11,99.00,100.00,98.50,99.50,16000
2024-01-12,99.50,101.00,99.00,100.50,14000
2024-01-15,100.50,101.50,100.00,101.00,13000
2024-01-16,101.00,102.00,100.50,102.00,11000
2024-01-17,102.00,103.00,101.50,102.50,15000
2024-01-18,102.50,103.50,102.00,103.00,17000
2024-01-19,103.00,104.00,102.50,103.50,16000
2024-01-22,103.50,104.50,103.00,104.00,14000
2024-01-23,104.00,105.00,103.00,103.50,18000
2024-01-24,103.50,104.00,102.50,103.00,20000
2024-01-25,103.00,103.50,102.00,102.50,21000
2024-01-26,102.50,103.50,102.00,103.00,15000
2024-01-29,103.00,104.00,102.50,103.50,13000
2024-01-30,103.50,105.00,103.00,104.50,12000
2024-01-31,104.50,105.50,104.00,105.00,14000
2024-02-01,105.00,106.00,104.50,105.50,16000
2024-02-02,105.50,106.50,105.00,106.00,15000
2024-02-05,106.00,107.00,105.00,105.50,18000
2024-02-06,105.50,108.00,105.00,107.50,22000
2024-02-07,107.50,108.50,107.00,107.80,19000
2024-02-08,107.80,108.00,106.50,107.00,17000
2024-02-09,107.00,107.50,106.00,106.50,20000
2024-02-12,106.50,107.00,105.50,106.00,21000
2024-02-13,106.00,106.50,105.00,105.50,23000
2024-02-14,105.50,106.00,104.50,105.00,19000
2024-02-15,105.00,106.50,104.50,106.00,16000
2024-02-16,106.00,107.00,105.50,106.50,15000
2024-02-19,106.50,107.50,106.00,107.00,14000
2024-02-20,107.00,108.00,106.50,107.50,13000
2024-02-21,107.50,108.50,107.00,108.00,12000
2024-02-22,108.00,109.00,107.50,108.50,14000
2024-02-23,108.50,110.00,108.00,109.50,16000
2024-02-26,109.50,110.50,109.00,110.00,15000
2024-02-27,110.00,111.00,109.50,110.50,14000
2024-02-28,110.50,111.50,110.00,111.00,13000
2024-02-29,111.00,112.00,110.50,111.00,17000
2024-03-01,111.00,114.00,110.50,113.50,25000
2024-03-04,113.50,114.50,112.50,113.00,20000
2024-03-05,113.00,113.50,111.50,112.00,22000
2024-03-06,112.00,113.00,111.00,112.50,19000
2024-03-07,112.50,114.00,112.00,113.50,16000
2024-03-08,113.50,115.00,113.00,114.50,15000
2024-03-11,114.50,116.00,114.00,115.50,14000
